PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex
1,0,3,22,1,0,7.25,1
2,1,1,38,1,0,71.2833,0
3,1,3,26,0,0,7.925,0
4,1,1,35,1,0,53.1,0
5,0,3,35,0,0,8.05,1
7,0,1,54,0,0,51.8625,1
8,0,3,2,3,1,21.075,1
9,1,3,27,0,2,11.1333,0
10,1,2,14,1,0,30.0708,0
11,1,3,4,1,1,16.7,0
12,1,1,58,0,0,26.55,0
13,0,3,20,0,0,8.05,1
14,0,3,39,1,5,31.275,1
15,0,3,14,0,0,7.8542,0
16,1,2,55,0,0,16,0
17,0,3,2,4,1,29.125,1
19,0,3,31,1,0,18,0
21,0,2,35,0,0,26,1
22,1,2,34,0,0,13,1
23,1,3,15,0,0,8.0292,0
24,1,1,28,0,0,35.5,1
25,0,3,8,3,1,21.075,0
26,1,3,38,1,5,31.3875,0
28,0,1,19,3,2,263,1
31,0,1,40,0,0,27.7208,1
34,0,2,66,0,0,10.5,1
35,0,1,28,1,0,82.1708,1
36,0,1,42,1,0,52,1
38,0,3,21,0,0,8.05,1
39,0,3,18,2,0,18,0
40,1,3,14,1,0,11.2417,0
41,0,3,40,1,0,9.475,0
42,0,2,27,1,0,21,0
44,1,2,3,1,2,41.5792,0
45,1,3,19,0,0,7.8792,0
50,0,3,18,1,0,17.8,0
51,0,3,7,4,1,39.6875,1
52,0,3,21,0,0,7.8,1
53,1,1,49,1,0,76.7292,0
54,1,2,29,1,0,26,0
55,0,1,65,0,1,61.9792,1
57,1,2,21,0,0,10.5,0
58,0,3,28.5,0,0,7.2292,1
59,1,2,5,1,2,27.75,0
60,0,3,11,5,2,46.9,1
61,0,3,22,0,0,7.2292,1
62,1,1,38,0,0,80,0
63,0,1,45,1,0,83.475,1
64,0,3,4,3,2,27.9,1
67,1,2,29,0,0,10.5,0
68,0,3,19,0,0,8.1583,1
69,1,3,17,4,2,7.925,0
70,0,3,26,2,0,8.6625,1
71,0,2,32,0,0,10.5,1
72,0,3,16,5,2,46.9,0
73,0,2,21,0,0,73.5,1
74,0,3,26,1,0,14.4542,1
75,1,3,32,0,0,56.4958,1
76,0,3,25,0,0,7.65,1
79,1,2,0.83,0,2,29,1
80,1,3,30,0,0,12.475,0
81,0,3,22,0,0,9,1
82,1,3,29,0,0,9.5,1
84,0,1,28,0,0,47.1,1
85,1,2,17,0,0,10.5,0
86,1,3,33,3,0,15.85,0
87,0,3,16,1,3,34.375,1
89,1,1,23,3,2,263,0
90,0,3,24,0,0,8.05,1
91,0,3,29,0,0,8.05,1
92,0,3,20,0,0,7.8542,1
93,0,1,46,1,0,61.175,1
94,0,3,26,1,2,20.575,1
95,0,3,59,0,0,7.25,1
97,0,1,71,0,0,34.6542,1
98,1,1,23,0,1,63.3583,1
99,1,2,34,0,1,23,0
100,0,2,34,1,0,26,1
101,0,3,28,0,0,7.8958,0
103,0,1,21,0,1,77.2875,1
104,0,3,33,0,0,8.6542,1
105,0,3,37,2,0,7.925,1
106,0,3,28,0,0,7.8958,1
107,1,3,21,0,0,7.65,0
109,0,3,38,0,0,7.8958,1
111,0,1,47,0,0,52,1
112,0,3,14.5,1,0,14.4542,0
113,0,3,22,0,0,8.05,1
114,0,3,20,1,0,9.825,0
115,0,3,17,0,0,14.4583,0
116,0,3,21,0,0,7.925,1
117,0,3,70.5,0,0,7.75,1
118,0,2,29,1,0,21,1
119,0,1,24,0,1,247.5208,1
120,0,3,2,4,2,31.275,0
121,0,2,21,2,0,73.5,1
123,0,2,32.5,1,0,30.0708,1
124,1,2,32.5,0,0,13,0
125,0,1,54,0,1,77.2875,1
126,1,3,12,1,0,11.2417,1
128,1,3,24,0,0,7.1417,1
130,0,3,45,0,0,6.975,1
131,0,3,33,0,0,7.8958,1
132,0,3,20,0,0,7.05,1
133,0,3,47,1,0,14.5,0
134,1,2,29,1,0,26,0
135,0,2,25,0,0,13,1
136,0,2,23,0,0,15.0458,1
137,1,1,19,0,2,26.2833,0
138,0,1,37,1,0,53.1,1
139,0,3,16,0,0,9.2167,1
140,0,1,24,0,0,79.2,1
142,1,3,22,0,0,7.75,0
143,1,3,24,1,0,15.85,0
144,0,3,19,0,0,6.75,1
145,0,2,18,0,0,11.5,1
146,0,2,19,1,1,36.75,1
147,1,3,27,0,0,7.7958,1
148,0,3,9,2,2,34.375,0
149,0,2,36.5,0,2,26,1
150,0,2,42,0,0,13,1
151,0,2,51,0,0,12.525,1
152,1,1,22,1,0,66.6,0
153,0,3,55.5,0,0,8.05,1
154,0,3,40.5,0,2,14.5,1
156,0,1,51,0,1,61.3792,1
157,1,3,16,0,0,7.7333,0
158,0,3,30,0,0,8.05,1
161,0,3,44,0,1,16.1,1
162,1,2,40,0,0,15.75,0
163,0,3,26,0,0,7.775,1
164,0,3,17,0,0,8.6625,1
165,0,3,1,4,1,39.6875,1
166,1,3,9,0,2,20.525,1
168,0,3,45,1,4,27.9,0
170,0,3,28,0,0,56.4958,1
171,0,1,61,0,0,33.5,1
172,0,3,4,4,1,29.125,1
173,1,3,1,1,1,11.1333,0
174,0,3,21,0,0,7.925,1
175,0,1,56,0,0,30.6958,1
176,0,3,18,1,1,7.8542,1
178,0,1,50,0,0,28.7125,0
179,0,2,30,0,0,13,1
180,0,3,36,0,0,0,1
183,0,3,9,4,2,31.3875,1
184,1,2,1,2,1,39,1
185,1,3,4,0,2,22.025,0
188,1,1,45,0,0,26.55,1
189,0,3,40,1,1,15.5,1
190,0,3,36,0,0,7.8958,1
191,1,2,32,0,0,13,0
192,0,2,19,0,0,13,1
193,1,3,19,1,0,7.8542,0
194,1,2,3,1,1,26,1
195,1,1,44,0,0,27.7208,0
196,1,1,58,0,0,146.5208,0
198,0,3,42,0,1,8.4042,1
200,0,2,24,0,0,13,0
201,0,3,28,0,0,9.5,1
203,0,3,34,0,0,6.4958,1
204,0,3,45.5,0,0,7.225,1
205,1,3,18,0,0,8.05,1
206,0,3,2,0,1,10.4625,0
207,0,3,32,1,0,15.85,1
208,1,3,26,0,0,18.7875,1
209,1,3,16,0,0,7.75,0
210,1,1,40,0,0,31,1
211,0,3,24,0,0,7.05,1
212,1,2,35,0,0,21,0
213,0,3,22,0,0,7.25,1
214,0,2,30,0,0,13,1
216,1,1,31,1,0,113.275,0
217,1,3,27,0,0,7.925,0
218,0,2,42,1,0,27,1
219,1,1,32,0,0,76.2917,0
220,0,2,30,0,0,10.5,1
221,1,3,16,0,0,8.05,1
222,0,2,27,0,0,13,1
223,0,3,51,0,0,8.05,1
225,1,1,38,1,0,90,1
226,0,3,22,0,0,9.35,1
227,1,2,19,0,0,10.5,1
228,0,3,20.5,0,0,7.25,1
229,0,2,18,0,0,13,1
231,1,1,35,1,0,83.475,0
232,0,3,29,0,0,7.775,1
233,0,2,59,0,0,13.5,1
234,1,3,5,4,2,31.3875,0
235,0,2,24,0,0,10.5,1
237,0,2,44,1,0,26,1
238,1,2,8,0,2,26.25,0
239,0,2,19,0,0,10.5,1
240,0,2,33,0,0,12.275,1
243,0,2,29,0,0,10.5,1
244,0,3,22,0,0,7.125,1
245,0,3,30,0,0,7.225,1
246,0,1,44,2,0,90,1
247,0,3,25,0,0,7.775,0
248,1,2,24,0,2,14.5,0
249,1,1,37,1,1,52.5542,1
250,0,2,54,1,0,26,1
252,0,3,29,1,1,10.4625,0
253,0,1,62,0,0,26.55,1
254,0,3,30,1,0,16.1,1
255,0,3,41,0,2,20.2125,0
256,1,3,29,0,2,15.2458,0
258,1,1,30,0,0,86.5,0
259,1,1,35,0,0,512.3292,0
260,1,2,50,0,1,26,0
262,1,3,3,4,2,31.3875,1
263,0,1,52,1,1,79.65,1
264,0,1,40,0,0,0,1
266,0,2,36,0,0,10.5,1
267,0,3,16,4,1,39.6875,1
268,1,3,25,1,0,7.775,1
269,1,1,58,0,1,153.4625,0
270,1,1,35,0,0,135.6333,0
272,1,3,25,0,0,0,1
273,1,2,41,0,1,19.5,0
274,0,1,37,0,1,29.7,1
276,1,1,63,1,0,77.9583,0
277,0,3,45,0,0,7.75,0
279,0,3,7,4,1,29.125,1
280,1,3,35,1,1,20.25,0
281,0,3,65,0,0,7.75,1
282,0,3,28,0,0,7.8542,1
283,0,3,16,0,0,9.5,1
284,1,3,19,0,0,8.05,1
286,0,3,33,0,0,8.6625,1
287,1,3,30,0,0,9.5,1
288,0,3,22,0,0,7.8958,1
289,1,2,42,0,0,13,1
290,1,3,22,0,0,7.75,0
291,1,1,26,0,0,78.85,0
292,1,1,19,1,0,91.0792,0
293,0,2,36,0,0,12.875,1
294,0,3,24,0,0,8.85,0
295,0,3,24,0,0,7.8958,1
297,0,3,23.5,0,0,7.2292,1
298,0,1,2,1,2,151.55,0
300,1,1,50,0,1,247.5208,0
303,0,3,19,0,0,0,1
306,1,1,0.92,1,2,151.55,1
308,1,1,17,1,0,108.9,0
309,0,2,30,1,0,24,1
310,1,1,30,0,0,56.9292,0
311,1,1,24,0,0,83.1583,0
312,1,1,18,2,2,262.375,0
313,0,2,26,1,1,26,0
314,0,3,28,0,0,7.8958,1
315,0,2,43,1,1,26.25,1
316,1,3,26,0,0,7.8542,0
317,1,2,24,1,0,26,0
318,0,2,54,0,0,14,1
319,1,1,31,0,2,164.8667,0
320,1,1,40,1,1,134.5,0
321,0,3,22,0,0,7.25,1
322,0,3,27,0,0,7.8958,1
323,1,2,30,0,0,12.35,0
324,1,2,22,1,1,29,0
326,1,1,36,0,0,135.6333,0
327,0,3,61,0,0,6.2375,1
328,1,2,36,0,0,13,0
329,1,3,31,1,1,20.525,0
330,1,1,16,0,1,57.9792,0
332,0,1,45.5,0,0,28.5,1
333,0,1,38,0,1,153.4625,1
334,0,3,16,2,0,18,1
337,0,1,29,1,0,66.6,1
338,1,1,41,0,0,134.5,0
339,1,3,45,0,0,8.05,1
340,0,1,45,0,0,35.5,1
341,1,2,2,1,1,26,1
342,1,1,24,3,2,263,0
343,0,2,28,0,0,13,1
344,0,2,25,0,0,13,1
345,0,2,36,0,0,13,1
346,1,2,24,0,0,13,0
347,1,2,40,0,0,13,0
349,1,3,3,1,1,15.9,1
350,0,3,42,0,0,8.6625,1
351,0,3,23,0,0,9.225,1
353,0,3,15,1,1,7.2292,1
354,0,3,25,1,0,17.8,1
356,0,3,28,0,0,9.5,1
357,1,1,22,0,1,55,0
358,0,2,38,0,0,13,0
361,0,3,40,1,4,27.9,1
362,0,2,29,1,0,27.7208,1
363,0,3,45,0,1,14.4542,0
364,0,3,35,0,0,7.05,1
366,0,3,30,0,0,7.25,1
367,1,1,60,1,0,75.25,0
370,1,1,24,0,0,69.3,0
371,1,1,25,1,0,55.4417,1
372,0,3,18,1,0,6.4958,1
373,0,3,19,0,0,8.05,1
374,0,1,22,0,0,135.6333,1
375,0,3,3,3,1,21.075,0
377,1,3,22,0,0,7.25,0
378,0,1,27,0,2,211.5,1
379,0,3,20,0,0,4.0125,1
380,0,3,19,0,0,7.775,1
381,1,1,42,0,0,227.525,0
382,1,3,1,0,2,15.7417,0
383,0,3,32,0,0,7.925,1
384,1,1,35,1,0,52,0
386,0,2,18,0,0,73.5,1
387,0,3,1,5,2,46.9,1
388,1,2,36,0,0,13,0
390,1,2,17,0,0,12,0
391,1,1,36,1,2,120,1
392,1,3,21,0,0,7.7958,1
393,0,3,28,2,0,7.925,1
394,1,1,23,1,0,113.275,0
395,1,3,24,0,2,16.7,0
396,0,3,22,0,0,7.7958,1
397,0,3,31,0,0,7.8542,0
398,0,2,46,0,0,26,1
399,0,2,23,0,0,10.5,1
400,1,2,28,0,0,12.65,0
401,1,3,39,0,0,7.925,1
402,0,3,26,0,0,8.05,1
403,0,3,21,1,0,9.825,0
404,0,3,28,1,0,15.85,1
405,0,3,20,0,0,8.6625,0
406,0,2,34,1,0,21,1
407,0,3,51,0,0,7.75,1
408,1,2,3,1,1,18.75,1
409,0,3,21,0,0,7.775,1
413,1,1,33,1,0,90,0
415,1,3,44,0,0,7.925,1
417,1,2,34,1,1,32.5,0
418,1,2,18,0,2,13,0
419,0,2,30,0,0,13,1
420,0,3,10,0,2,24.15,0
422,0,3,21,0,0,7.7333,1
423,0,3,29,0,0,7.875,1
424,0,3,28,1,1,14.4,0
425,0,3,18,1,1,20.2125,1
427,1,2,28,1,0,26,0
428,1,2,19,0,0,26,0
430,1,3,32,0,0,8.05,1
431,1,1,28,0,0,26.55,1
433,1,2,42,1,0,26,0
434,0,3,17,0,0,7.125,1
435,0,1,50,1,0,55.9,1
436,1,1,14,1,2,120,0
437,0,3,21,2,2,34.375,0
438,1,2,24,2,3,18.75,0
439,0,1,64,1,4,263,1
440,0,2,31,0,0,10.5,1
441,1,2,45,1,1,26.25,0
442,0,3,20,0,0,9.5,1
443,0,3,25,1,0,7.775,1
444,1,2,28,0,0,13,0
446,1,1,4,0,2,81.8583,1
447,1,2,13,0,1,19.5,0
448,1,1,34,0,0,26.55,1
449,1,3,5,2,1,19.2583,0
450,1,1,52,0,0,30.5,1
451,0,2,36,1,2,27.75,1
453,0,1,30,0,0,27.75,1
454,1,1,49,1,0,89.1042,1
456,1,3,29,0,0,7.8958,1
457,0,1,65,0,0,26.55,1
459,1,2,50,0,0,10.5,0
461,1,1,48,0,0,26.55,1
462,0,3,34,0,0,8.05,1
463,0,1,47,0,0,38.5,1
464,0,2,48,0,0,13,1
466,0,3,38,0,0,7.05,1
468,0,1,56,0,0,26.55,1
470,1,3,0.75,2,1,19.2583,0
472,0,3,38,0,0,8.6625,1
473,1,2,33,1,2,27.75,0
474,1,2,23,0,0,13.7917,0
475,0,3,22,0,0,9.8375,0
477,0,2,34,1,0,21,1
478,0,3,29,1,0,7.0458,1
479,0,3,22,0,0,7.5208,1
480,1,3,2,0,1,12.2875,0
481,0,3,9,5,2,46.9,1
483,0,3,50,0,0,8.05,1
484,1,3,63,0,0,9.5875,0
485,1,1,25,1,0,91.0792,1
487,1,1,35,1,0,90,0
488,0,1,58,0,0,29.7,1
489,0,3,30,0,0,8.05,1
490,1,3,9,1,1,15.9,1
492,0,3,21,0,0,7.25,1
493,0,1,55,0,0,30.5,1
494,0,1,71,0,0,49.5042,1
495,0,3,21,0,0,8.05,1
497,1,1,54,1,0,78.2667,0
499,0,1,25,1,2,151.55,0
500,0,3,24,0,0,7.7958,1
501,0,3,17,0,0,8.6625,1
502,0,3,21,0,0,7.75,0
504,0,3,37,0,0,9.5875,0
505,1,1,16,0,0,86.5,0
506,0,1,18,1,0,108.9,1
507,1,2,33,0,2,26,0
509,0,3,28,0,0,22.525,1
510,1,3,26,0,0,56.4958,1
511,1,3,29,0,0,7.75,1
513,1,1,36,0,0,26.2875,1
514,1,1,54,1,0,59.4,0
515,0,3,24,0,0,7.4958,1
516,0,1,47,0,0,34.0208,1
517,1,2,34,0,0,10.5,0
519,1,2,36,1,0,26,0
520,0,3,32,0,0,7.8958,1
521,1,1,30,0,0,93.5,0
522,0,3,22,0,0,7.8958,1
524,1,1,44,0,1,57.9792,0
526,0,3,40.5,0,0,7.75,1
527,1,2,50,0,0,10.5,0
529,0,3,39,0,0,7.925,1
530,0,2,23,2,1,11.5,1
531,1,2,2,1,1,26,0
533,0,3,17,1,1,7.2292,1
535,0,3,30,0,0,8.6625,0
536,1,2,7,0,2,26.25,0
537,0,1,45,0,0,26.55,1
538,1,1,30,0,0,106.425,0
540,1,1,22,0,2,49.5,0
541,1,1,36,0,2,71,0
542,0,3,9,4,2,31.275,0
543,0,3,11,4,2,31.275,0
544,1,2,32,1,0,26,1
545,0,1,50,1,0,106.425,1
546,0,1,64,0,0,26,1
547,1,2,19,1,0,26,0
549,0,3,33,1,1,20.525,1
550,1,2,8,1,1,36.75,1
551,1,1,17,0,2,110.8833,1
552,0,2,27,0,0,26,1
554,1,3,22,0,0,7.225,1
555,1,3,22,0,0,7.775,0
556,0,1,62,0,0,26.55,1
557,1,1,48,1,0,39.6,0
559,1,1,39,1,1,79.65,0
560,1,3,36,1,0,17.4,0
562,0,3,40,0,0,7.8958,1
563,0,2,28,0,0,13.5,1
566,0,3,24,2,0,24.15,1
567,0,3,19,0,0,7.8958,1
568,0,3,29,0,4,21.075,0
570,1,3,32,0,0,7.8542,1
571,1,2,62,0,0,10.5,1
572,1,1,53,2,0,51.4792,0
573,1,1,36,0,0,26.3875,1
575,0,3,16,0,0,8.05,1
576,0,3,19,0,0,14.5,1
577,1,2,34,0,0,13,0
578,1,1,39,1,0,55.9,0
580,1,3,32,0,0,7.925,1
581,1,2,25,1,1,30,0
582,1,1,39,1,1,110.8833,0
583,0,2,54,0,0,26,1
584,0,1,36,0,0,40.125,1
586,1,1,18,0,2,79.65,0
587,0,2,47,0,0,15,1
588,1,1,60,1,1,79.2,1
589,0,3,22,0,0,8.05,1
591,0,3,35,0,0,7.125,1
592,1,1,52,1,0,78.2667,0
593,0,3,47,0,0,7.25,1
595,0,2,37,1,0,26,1
596,0,3,36,1,1,24.15,1
598,0,3,49,0,0,0,1
600,1,1,49,1,0,56.9292,1
601,1,2,24,2,1,27,0
604,0,3,44,0,0,8.05,1
605,1,1,35,0,0,26.55,1
606,0,3,36,1,0,15.55,1
607,0,3,30,0,0,7.8958,1
608,1,1,27,0,0,30.5,1
609,1,2,22,1,2,41.5792,0
610,1,1,40,0,0,153.4625,0
611,0,3,39,1,5,31.275,0
615,0,3,35,0,0,8.05,1
616,1,2,24,1,2,65,0
617,0,3,34,1,1,14.4,1
618,0,3,26,1,0,16.1,0
619,1,2,4,2,1,39,0
620,0,2,26,0,0,10.5,1
621,0,3,27,1,0,14.4542,1
622,1,1,42,1,0,52.5542,1
623,1,3,20,1,1,15.7417,1
624,0,3,21,0,0,7.8542,1
625,0,3,21,0,0,16.1,1
626,0,1,61,0,0,32.3208,1
627,0,2,57,0,0,12.35,1
628,1,1,21,0,0,77.9583,0
629,0,3,26,0,0,7.8958,1
631,1,1,80,0,0,30,1
632,0,3,51,0,0,7.0542,1
633,1,1,32,0,0,30.5,1
635,0,3,9,3,2,27.9,0
636,1,2,28,0,0,13,0
637,0,3,32,0,0,7.925,1
638,0,2,31,1,1,26.25,1
639,0,3,41,0,5,39.6875,0
641,0,3,20,0,0,7.8542,1
642,1,1,24,0,0,69.3,0
643,0,3,2,3,2,27.9,0
645,1,3,0.75,2,1,19.2583,0
646,1,1,48,1,0,76.7292,1
647,0,3,19,0,0,7.8958,1
648,1,1,56,0,0,35.5,1
650,1,3,23,0,0,7.55,0
652,1,2,18,0,1,23,0
653,0,3,21,0,0,8.4333,1
655,0,3,18,0,0,6.75,0
656,0,2,24,2,0,73.5,1
658,0,3,32,1,1,15.5,0
659,0,2,23,0,0,13,1
660,0,1,58,0,2,113.275,1
661,1,1,50,2,0,133.65,1
662,0,3,40,0,0,7.225,1
663,0,1,47,0,0,25.5875,1
664,0,3,36,0,0,7.4958,1
665,1,3,20,1,0,7.925,1
666,0,2,32,2,0,73.5,1
667,0,2,25,0,0,13,1
669,0,3,43,0,0,8.05,1
671,1,2,40,1,1,39,0
672,0,1,31,1,0,52,1
673,0,2,70,0,0,10.5,1
674,1,2,31,0,0,13,1
676,0,3,18,0,0,7.775,1
677,0,3,24.5,0,0,8.05,1
678,1,3,18,0,0,9.8417,0
679,0,3,43,1,6,46.9,0
680,1,1,36,0,1,512.3292,1
682,1,1,27,0,0,76.7292,1
683,0,3,20,0,0,9.225,1
684,0,3,14,5,2,46.9,1
685,0,2,60,1,1,39,1
686,0,2,25,1,2,41.5792,1
687,0,3,14,4,1,39.6875,1
688,0,3,19,0,0,10.1708,1
689,0,3,18,0,0,7.7958,1
690,1,1,15,0,1,211.3375,0
691,1,1,31,1,0,57,1
692,1,3,4,0,1,13.4167,0
694,0,3,25,0,0,7.225,1
695,0,1,60,0,0,26.55,1
696,0,2,52,0,0,13.5,1
697,0,3,44,0,0,8.05,1
699,0,1,49,1,1,110.8833,1
700,0,3,42,0,0,7.65,1
701,1,1,18,1,0,227.525,0
702,1,1,35,0,0,26.2875,1
703,0,3,18,0,1,14.4542,0
704,0,3,25,0,0,7.7417,1
705,0,3,26,1,0,7.8542,1
706,0,2,39,0,0,26,1
707,1,2,45,0,0,13.5,0
708,1,1,42,0,0,26.2875,1
709,1,1,22,0,0,151.55,0
711,1,1,24,0,0,49.5042,0
713,1,1,48,1,0,52,1
714,0,3,29,0,0,9.4833,1
715,0,2,52,0,0,13,1
716,0,3,19,0,0,7.65,1
717,1,1,38,0,0,227.525,0
718,1,2,27,0,0,10.5,0
720,0,3,33,0,0,7.775,1
721,1,2,6,0,1,33,0
722,0,3,17,1,0,7.0542,1
723,0,2,34,0,0,13,1
724,0,2,50,0,0,13,1
725,1,1,27,1,0,53.1,1
726,0,3,20,0,0,8.6625,1
727,1,2,30,3,0,21,0
729,0,2,25,1,0,26,1
730,0,3,25,1,0,7.925,0
731,1,1,29,0,0,211.3375,0
732,0,3,11,0,0,18.7875,1
734,0,2,23,0,0,13,1
735,0,2,23,0,0,13,1
736,0,3,28.5,0,0,16.1,1
737,0,3,48,1,3,34.375,0
738,1,1,35,0,0,512.3292,1
742,0,1,36,1,0,78.85,1
743,1,1,21,2,2,262.375,0
744,0,3,24,1,0,16.1,1
745,1,3,31,0,0,7.925,1
746,0,1,70,1,1,71,1
747,0,3,16,1,1,20.25,1
748,1,2,30,0,0,13,0
749,0,1,19,1,0,53.1,1
750,0,3,31,0,0,7.75,1
751,1,2,4,1,1,23,0
752,1,3,6,0,1,12.475,1
753,0,3,33,0,0,9.5,1
754,0,3,23,0,0,7.8958,1
755,1,2,48,1,2,65,0
756,1,2,0.67,1,1,14.5,1
757,0,3,28,0,0,7.7958,1
758,0,2,18,0,0,11.5,1
759,0,3,34,0,0,8.05,1
760,1,1,33,0,0,86.5,0
762,0,3,41,0,0,7.125,1
763,1,3,20,0,0,7.2292,1
764,1,1,36,1,2,120,0
765,0,3,16,0,0,7.775,1
766,1,1,51,1,0,77.9583,0
768,0,3,30.5,0,0,7.75,0
770,0,3,32,0,0,8.3625,1
771,0,3,24,0,0,9.5,1
772,0,3,48,0,0,7.8542,1
773,0,2,57,0,0,10.5,0
775,1,2,54,1,3,23,0
776,0,3,18,0,0,7.75,1
778,1,3,5,0,0,12.475,0
780,1,1,43,0,1,211.3375,0
781,1,3,13,0,0,7.2292,0
782,1,1,17,1,0,57,0
783,0,1,29,0,0,30,1
785,0,3,25,0,0,7.05,1
786,0,3,25,0,0,7.25,1
787,1,3,18,0,0,7.4958,0
788,0,3,8,4,1,29.125,1
789,1,3,1,1,2,20.575,1
790,0,1,46,0,0,79.2,1
792,0,2,16,0,0,26,1
795,0,3,25,0,0,7.8958,1
796,0,2,39,0,0,13,1
797,1,1,49,0,0,25.9292,0
798,1,3,31,0,0,8.6833,0
799,0,3,30,0,0,7.2292,1
800,0,3,30,1,1,24.15,0
801,0,2,34,0,0,13,1
802,1,2,31,1,1,26.25,0
803,1,1,11,1,2,120,1
804,1,3,0.42,0,1,8.5167,1
805,1,3,27,0,0,6.975,1
806,0,3,31,0,0,7.775,1
807,0,1,39,0,0,0,1
808,0,3,18,0,0,7.775,0
809,0,2,39,0,0,13,1
810,1,1,33,1,0,53.1,0
811,0,3,26,0,0,7.8875,1
812,0,3,39,0,0,24.15,1
813,0,2,35,0,0,10.5,1
814,0,3,6,4,2,31.275,0
815,0,3,30.5,0,0,8.05,1
817,0,3,23,0,0,7.925,0
818,0,2,31,1,1,37.0042,1
819,0,3,43,0,0,6.45,1
820,0,3,10,3,2,27.9,1
821,1,1,52,1,1,93.5,0
822,1,3,27,0,0,8.6625,1
823,0,1,38,0,0,0,1
824,1,3,27,0,1,12.475,0
825,0,3,2,4,1,39.6875,1
828,1,2,1,0,2,37.0042,1
830,1,1,62,0,0,80,0
831,1,3,15,1,0,14.4542,0
832,1,2,0.83,1,1,18.75,1
834,0,3,23,0,0,7.8542,1
835,0,3,18,0,0,8.3,1
836,1,1,39,1,1,83.1583,0
837,0,3,21,0,0,8.6625,1
839,1,3,32,0,0,56.4958,1
841,0,3,20,0,0,7.925,1
842,0,2,16,0,0,10.5,1
843,1,1,30,0,0,31,0
844,0,3,34.5,0,0,6.4375,1
845,0,3,17,0,0,8.6625,1
846,0,3,42,0,0,7.55,1
848,0,3,35,0,0,7.8958,1
849,0,2,28,0,1,33,1
851,0,3,4,4,2,31.275,1
852,0,3,74,0,0,7.775,1
853,0,3,9,1,1,15.2458,0
854,1,1,16,0,1,39.4,0
855,0,2,44,1,0,26,0
856,1,3,18,0,1,9.35,0
857,1,1,45,1,1,164.8667,0
858,1,1,51,0,0,26.55,1
859,1,3,24,0,3,19.2583,0
861,0,3,41,2,0,14.1083,1
862,0,2,21,1,0,11.5,1
863,1,1,48,0,0,25.9292,0
865,0,2,24,0,0,13,1
866,1,2,42,0,0,13,0
867,1,2,27,1,0,13.8583,0
868,0,1,31,0,0,50.4958,1
870,1,3,4,1,1,11.1333,1
871,0,3,26,0,0,7.8958,1
872,1,1,47,1,1,52.5542,0
873,0,1,33,0,0,5,1
874,0,3,47,0,0,9,1
875,1,2,28,1,0,24,0
876,1,3,15,0,0,7.225,0
877,0,3,20,0,0,9.8458,1
878,0,3,19,0,0,7.8958,1
880,1,1,56,0,1,83.1583,0
881,1,2,25,0,1,26,0
882,0,3,33,0,0,7.8958,1
883,0,3,22,0,0,10.5167,0
884,0,2,28,0,0,10.5,1
885,0,3,25,0,0,7.05,1
886,0,3,39,0,5,29.125,0
887,0,2,27,0,0,13,1
888,1,1,19,0,0,30,0
890,1,1,26,0,0,30,1
891,0,3,32,0,0,7.75,1